,departure_status,year,month,flights
0,CANCELLED,2012.0,1.0,7104.0
1,CANCELLED,2012.0,2.0,4661.0
2,CANCELLED,2012.0,3.0,5410.0
3,CANCELLED,2012.0,4.0,4961.0
4,CANCELLED,2012.0,5.0,4479.0
5,CANCELLED,2012.0,6.0,5786.0
6,CANCELLED,2012.0,7.0,7710.0
7,CANCELLED,2012.0,8.0,7099.0
8,CANCELLED,2012.0,9.0,3953.0
9,CANCELLED,2012.0,10.0,14624.0
10,CANCELLED,2012.0,11.0,5105.0
11,CANCELLED,2012.0,12.0,7970.0
12,CANCELLED,2013.0,1.0,7561.0
13,CANCELLED,2013.0,2.0,11329.0
14,CANCELLED,2013.0,3.0,8933.0
15,CANCELLED,2013.0,4.0,9459.0
16,CANCELLED,2013.0,5.0,6238.0
17,CANCELLED,2013.0,6.0,9852.0
18,CANCELLED,2013.0,7.0,9599.0
19,CANCELLED,2013.0,8.0,5537.0
20,CANCELLED,2013.0,9.0,4412.0
21,CANCELLED,2013.0,10.0,3263.0
22,CANCELLED,2013.0,11.0,5082.0
23,CANCELLED,2013.0,12.0,14747.0
24,CANCELLED,2014.0,1.0,30852.0
25,CANCELLED,2014.0,2.0,23719.0
26,CANCELLED,2014.0,3.0,9848.0
27,CANCELLED,2014.0,4.0,5562.0
28,CANCELLED,2014.0,5.0,9513.0
29,CANCELLED,2014.0,6.0,10133.0
30,CANCELLED,2014.0,7.0,8390.0
31,CANCELLED,2014.0,8.0,5949.0
32,CANCELLED,2014.0,9.0,6776.0
33,CANCELLED,2014.0,10.0,5206.0
34,CANCELLED,2014.0,11.0,4301.0
35,CANCELLED,2014.0,12.0,6735.0
36,CANCELLED,2015.0,1.0,11982.0
37,CANCELLED,2015.0,2.0,20517.0
38,CANCELLED,2015.0,3.0,11002.0
39,CANCELLED,2015.0,4.0,4520.0
40,CANCELLED,2015.0,5.0,5694.0
41,CANCELLED,2015.0,6.0,9120.0
42,CANCELLED,2015.0,7.0,4806.0
43,CANCELLED,2015.0,8.0,5052.0
44,CANCELLED,2015.0,9.0,2075.0
45,CANCELLED,2015.0,10.0,2454.0
46,CANCELLED,2015.0,11.0,4599.0
47,CANCELLED,2015.0,12.0,8063.0
48,CANCELLED,2016.0,1.0,11665.0
